provider_id,provider_name,specialty,network_status,county
P00001,Provider_1,Family Medicine,In-Network,Dallas
P00002,Provider_2,Family Medicine,In-Network,Dallas
P00003,Provider_3,Family Medicine,In-Network,Dallas
P00004,Provider_4,Cardiology,In-Network,Dallas
P00005,Provider_5,Family Medicine,In-Network,Dallas
P00006,Provider_6,Family Medicine,In-Network,Dallas
P00007,Provider_7,Family Medicine,In-Network,Dallas
P00008,Provider_8,Cardiology,In-Network,Dallas
P00009,Provider_9,Family Medicine,In-Network,Dallas
P00010,Provider_10,Family Medicine,In-Network,Dallas
P00011,Provider_11,Family Medicine,In-Network,Dallas
P00012,Provider_12,Cardiology,In-Network,Dallas
P00013,Provider_13,Family Medicine,In-Network,Dallas
P00014,Provider_14,Family Medicine,In-Network,Dallas
P00015,Provider_15,Family Medicine,In-Network,Dallas
P00016,Provider_16,Cardiology,In-Network,Dallas
P00017,Provider_17,Family Medicine,In-Network,Dallas
P00018,Provider_18,Family Medicine,In-Network,Dallas
P00019,Provider_19,Family Medicine,In-Network,Dallas
P00020,Provider_20,Cardiology,In-Network,Dallas
P00021,Provider_21,Family Medicine,In-Network,Dallas
P00022,Provider_22,Family Medicine,In-Network,Dallas
P00023,Provider_23,Family Medicine,In-Network,Dallas
P00024,Provider_24,Cardiology,In-Network,Dallas
P00025,Provider_25,Family Medicine,In-Network,Dallas
P00026,Provider_26,Family Medicine,In-Network,Dallas
P00027,Provider_27,Family Medicine,In-Network,Dallas
P00028,Provider_28,Cardiology,In-Network,Dallas
P00029,Provider_29,Family Medicine,In-Network,Dallas
P00030,Provider_30,Family Medicine,In-Network,Dallas
P00031,Provider_31,Family Medicine,In-Network,Dallas
P00032,Provider_32,Cardiology,In-Network,Dallas
P00033,Provider_33,Family Medicine,In-Network,Dallas
P00034,Provider_34,Family Medicine,In-Network,Dallas
P00035,Provider_35,Family Medicine,In-Network,Dallas
P00036,Provider_36,Cardiology,In-Network,Dallas
P00037,Provider_37,Family Medicine,In-Network,Dallas
P00038,Provider_38,Family Medicine,In-Network,Dallas
P00039,Provider_39,Family Medicine,In-Network,Dallas
